Genes	monophyletic_group_code	Species
SPER_0002008501, SPER_0003024401	F12506_SPE_G1	S. erinaceieuropaei
SPER_0001520301, SPER_0002810801, SPER_0003160901	F12513_SPE_G1	S. erinaceieuropaei
SPER_0001263901, SPER_0001456601, SPER_0001073601	F12515_SPE_G1	S. erinaceieuropaei
SPER_0003407301, SPER_0003881901	F12571_SPE_G1	S. erinaceieuropaei
SPER_0000816101, SPER_0001066701	F12581_SPE_G1	S. erinaceieuropaei
SPER_0002039101, SPER_0003065201	F12592_SPE_G1	S. erinaceieuropaei
SPER_0001157401, SPER_0003718901	F12601_SPE_G1	S. erinaceieuropaei
SPER_0002301401, SPER_0002647801	F12619_SPE_G1	S. erinaceieuropaei
SPER_0002249101, SPER_0002534101	F12652_SPE_G1	S. erinaceieuropaei
SPER_0003051001, SPER_0003513001	F12673_SPE_G1	S. erinaceieuropaei
SPER_0001740801, SPER_0000598901, SPER_0000616501	F12674_SPE_G1	S. erinaceieuropaei
SPER_0001731901, SPER_0001570001, SPER_0002332001, SPER_0003291101	F12681_SPE_G1	S. erinaceieuropaei
SPER_0002456601, SPER_0000369301	F12684_SPE_G1	S. erinaceieuropaei
SPER_0001614601, SPER_0003170801, SPER_0001951101	F12686_SPE_G1	S. erinaceieuropaei
SPER_0000093201, SPER_0001186601	F12697_SPE_G1	S. erinaceieuropaei
SPER_0000050801, SPER_0001438701	F12723_SPE_G1	S. erinaceieuropaei
SPER_0003367101, SPER_0002781401, SPER_0003480201	F12734_SPE_G1	S. erinaceieuropaei
SPER_0003151101, SPER_0002415701, SPER_0002720501	F12736_SPE_G1	S. erinaceieuropaei
SPER_0000203201, SPER_0003300701	F12740_SPE_G1	S. erinaceieuropaei
SPER_0001659701, SPER_0003025701	F12746_SPE_G1	S. erinaceieuropaei
SPER_0002809701, SPER_0002936401	F12758_SPE_G1	S. erinaceieuropaei
SPER_0001220001, SPER_0003425601	F12764_SPE_G1	S. erinaceieuropaei
SPER_0000388501, SPER_0003464101	F12767_SPE_G1	S. erinaceieuropaei
SPER_0000447901, SPER_0003283101, SPER_0002267701	F12770_SPE_G1	S. erinaceieuropaei
SPER_0002024101, SPER_0003378701, SPER_0002903501	F12780_SPE_G1	S. erinaceieuropaei
SPER_0001904801, SPER_0001555201, SPER_0002927301	F12783_SPE_G1	S. erinaceieuropaei
SPER_0001078001, SPER_0003004901	F12793_SPE_G1	S. erinaceieuropaei
SPER_0002435201, SPER_0000470401	F12794_SPE_G1	S. erinaceieuropaei
SPER_0000400701, SPER_0003402701, SPER_0002520601	F12824_SPE_G1	S. erinaceieuropaei
SPER_0001173701, SPER_0002231301	F12830_SPE_G1	S. erinaceieuropaei
SPER_0003848101, SPER_0003890001	F12837_SPE_G1	S. erinaceieuropaei
SPER_0000425101, SPER_0000427501	F12844_SPE_G1	S. erinaceieuropaei
SPER_0000508901, SPER_0003140201, SPER_0003459601	F12845_SPE_G1	S. erinaceieuropaei
SPER_0002012101, SPER_0000342201, SPER_0001138801, SPER_0001059901	F12848_SPE_G1	S. erinaceieuropaei
SPER_0001550501, SPER_0003518001	F12853_SPE_G1	S. erinaceieuropaei
SPER_0001230001, SPER_0002635201	F12856_SPE_G1	S. erinaceieuropaei
SPER_0001347001, SPER_0001369101	F12858_SPE_G1	S. erinaceieuropaei
SPER_0003175301, SPER_0001435401, SPER_0000658301, SPER_0001268501	F12865_SPE_G1	S. erinaceieuropaei
SPER_0001641801, SPER_0003676701	F12866_SPE_G1	S. erinaceieuropaei
SPER_0001012501, SPER_0002444201	F12877_SPE_G1	S. erinaceieuropaei
SPER_0000428901, SPER_0000525901	F12908_SPE_G1	S. erinaceieuropaei
SPER_0001120001, SPER_0001330901	F12914_SPE_G1	S. erinaceieuropaei
SPER_0001451901, SPER_0002347201	F12917_SPE_G1	S. erinaceieuropaei
SPER_0000123901, SPER_0002244501	F12940_SPE_G1	S. erinaceieuropaei
SPER_0001224101, SPER_0003120901, SPER_0003398301	F12945_SPE_G1	S. erinaceieuropaei
SPER_0002158701, SPER_0002162901	F12948_SPE_G1	S. erinaceieuropaei
SPER_0002068701, SPER_0002931401	F12971_SPE_G1	S. erinaceieuropaei
SPER_0000545701, SPER_0003526801	F12980_SPE_G1	S. erinaceieuropaei
SPER_0001354501, SPER_0001055001, SPER_0002640001	F12988_SPE_G1	S. erinaceieuropaei
SPER_0000974901, SPER_0002998301	F12997_SPE_G1	S. erinaceieuropaei
SPER_0000383901, SPER_0001824201	F13011_SPE_G1	S. erinaceieuropaei
SPER_0002108801, SPER_0002681201	F13017_SPE_G1	S. erinaceieuropaei
SPER_0000042401, SPER_0001648401	F13022_SPE_G1	S. erinaceieuropaei
SPER_0002063201, SPER_0002428601, SPER_0002389001	F13035_SPE_G1	S. erinaceieuropaei
SPER_0001273101, SPER_0002000201	F13036_SPE_G1	S. erinaceieuropaei
SPER_0000316601, SPER_0000606701	F13042_SPE_G1	S. erinaceieuropaei
SPER_0001197701, SPER_0001579601	F13047_SPE_G1	S. erinaceieuropaei
SPER_0003153701, SPER_0003451501, SPER_0003489701	F13057_SPE_G1	S. erinaceieuropaei
SPER_0001611801, SPER_0003482301	F13065_SPE_G1	S. erinaceieuropaei
SPER_0002336901, SPER_0002677001	F13066_SPE_G1	S. erinaceieuropaei
SPER_0003750201, SPER_0003845501	F13088_SPE_G1	S. erinaceieuropaei
SPER_0003230301, SPER_0001344201, SPER_0003369701	F13097_SPE_G1	S. erinaceieuropaei
SPER_0001984901, SPER_0003180001	F13110_SPE_G1	S. erinaceieuropaei
SPER_0001987101, SPER_0002586301, SPER_0003442301	F13159_SPE_G1	S. erinaceieuropaei
SPER_0000395801, SPER_0001011901, SPER_0003806401	F13163_SPE_G1	S. erinaceieuropaei
SPER_0001955801, SPER_0003428401	F13181_SPE_G1	S. erinaceieuropaei
SPER_0002332901, SPER_0003689001	F13190_SPE_G1	S. erinaceieuropaei
SPER_0003919801, SPER_0003546501, SPER_0001411201	F13199_SPE_G1	S. erinaceieuropaei
SPER_0001590401, SPER_0002050401	F13209_SPE_G1	S. erinaceieuropaei
SPER_0001807301, SPER_0003298501	F13210_SPE_G1	S. erinaceieuropaei
SPER_0001340101, SPER_0001922501	F13211_SPE_G1	S. erinaceieuropaei
SPER_0002078801, SPER_0002806301	F13212_SPE_G1	S. erinaceieuropaei
SPER_0002394601, SPER_0003737401	F13218_SPE_G1	S. erinaceieuropaei
SPER_0000974201, SPER_0002940901	F13221_SPE_G1	S. erinaceieuropaei
SPER_0000950801, SPER_0001102701	F13224_SPE_G1	S. erinaceieuropaei
SPER_0000461901, SPER_0001518801	F13225_SPE_G1	S. erinaceieuropaei
SPER_0000747101, SPER_0000747401	F13235_SPE_G1	S. erinaceieuropaei
SPER_0000476801, SPER_0003647301, SPER_0000838201	F13236_SPE_G1	S. erinaceieuropaei
SPER_0002117801, SPER_0002988501	F13250_SPE_G1	S. erinaceieuropaei
SPER_0002709501, SPER_0000789401, SPER_0000793801	F13255_SPE_G1	S. erinaceieuropaei
SPER_0002463201, SPER_0003073901, SPER_0002930501	F13265_SPE_G1	S. erinaceieuropaei
SPER_0003647001, SPER_0001911301, SPER_0003498901	F13268_SPE_G1	S. erinaceieuropaei
SPER_0003418101, SPER_0002184801, SPER_0003660001	F13269_SPE_G1	S. erinaceieuropaei
SPER_0001587501, SPER_0001600701	F13271_SPE_G1	S. erinaceieuropaei
SPER_0000197901, SPER_0003345001	F13272_SPE_G1	S. erinaceieuropaei
SPER_0000356001, SPER_0000360101	F13273_SPE_G1	S. erinaceieuropaei
SPER_0002059401, SPER_0001966401, SPER_0002470001	F13282_SPE_G1	S. erinaceieuropaei
SPER_0000079601, SPER_0002033001	F13285_SPE_G1	S. erinaceieuropaei
SPER_0001562901, SPER_0001945201	F13290_SPE_G1	S. erinaceieuropaei
SPER_0001285001, SPER_0003555301, SPER_0002001101	F13292_SPE_G1	S. erinaceieuropaei
SPER_0001484401, SPER_0003760001	F13293_SPE_G1	S. erinaceieuropaei
SPER_0002049901, SPER_0002556201	F13296_SPE_G1	S. erinaceieuropaei
SPER_0003895001, SPER_0000267801, SPER_0002050601	F13306_SPE_G1	S. erinaceieuropaei
SPER_0002932701, SPER_0002997401	F13308_SPE_G1	S. erinaceieuropaei
SPER_0003205601, SPER_0003613201	F13317_SPE_G1	S. erinaceieuropaei
SPER_0003317101, SPER_0003371201	F13322_SPE_G1	S. erinaceieuropaei
SPER_0002340901, SPER_0002611301, SPER_0002345501	F13341_SPE_G1	S. erinaceieuropaei
SPER_0001326701, SPER_0003674801	F13343_SPE_G1	S. erinaceieuropaei
SPER_0002274301, SPER_0002880301	F13345_SPE_G1	S. erinaceieuropaei
SPER_0000884901, SPER_0003606901, SPER_0003847301	F13346_SPE_G1	S. erinaceieuropaei
SPER_0001189901, SPER_0001200501, SPER_0001712601	F13354_SPE_G1	S. erinaceieuropaei
SPER_0002878701, SPER_0001457001, SPER_0003389401	F13355_SPE_G1	S. erinaceieuropaei
SPER_0001428501, SPER_0002816801	F13356_SPE_G1	S. erinaceieuropaei
SPER_0000088201, SPER_0002875201	F13369_SPE_G1	S. erinaceieuropaei
SPER_0001250401, SPER_0001325901, SPER_0001297701	F13374_SPE_G1	S. erinaceieuropaei
SPER_0001522301, SPER_0003164201, SPER_0003801801	F13376_SPE_G1	S. erinaceieuropaei
SPER_0003531001, SPER_0003570001	F13382_SPE_G1	S. erinaceieuropaei
SPER_0001031501, SPER_0002597101	F13383_SPE_G1	S. erinaceieuropaei
SPER_0002609701, SPER_0003027801	F13386_SPE_G1	S. erinaceieuropaei
SPER_0000442601, SPER_0003801501	F13388_SPE_G1	S. erinaceieuropaei
SPER_0000408301, SPER_0000794501, SPER_0003378601	F13391_SPE_G1	S. erinaceieuropaei
SPER_0001756201, SPER_0000365301, SPER_0000365801	F13395_SPE_G1	S. erinaceieuropaei
SPER_0001628101, SPER_0002389501, SPER_0002043501	F13401_SPE_G1	S. erinaceieuropaei
SPER_0002874701, SPER_0002971301	F13404_SPE_G1	S. erinaceieuropaei
SPER_0001072301, SPER_0003699201	F13407_SPE_G1	S. erinaceieuropaei
SPER_0002468201, SPER_0002660301	F13411_SPE_G1	S. erinaceieuropaei
SPER_0001772401, SPER_0003736101	F13413_SPE_G1	S. erinaceieuropaei
SPER_0003180501, SPER_0003342901	F13415_SPE_G1	S. erinaceieuropaei
SPER_0000392101, SPER_0001825501	F13418_SPE_G1	S. erinaceieuropaei
SPER_0001074701, SPER_0001154601	F13420_SPE_G1	S. erinaceieuropaei
SPER_0002550501, SPER_0003250001	F13421_SPE_G1	S. erinaceieuropaei
SPER_0001276701, SPER_0003677801	F13424_SPE_G1	S. erinaceieuropaei
SPER_0001314601, SPER_0002188401	F13427_SPE_G1	S. erinaceieuropaei
SPER_0003744801, SPER_0003941901, SPER_0002303301	F13430_SPE_G1	S. erinaceieuropaei
SPER_0001176501, SPER_0001200101	F13431_SPE_G1	S. erinaceieuropaei
SPER_0000484901, SPER_0003854901	F13432_SPE_G1	S. erinaceieuropaei
SPER_0000988601, SPER_0002888401	F13434_SPE_G1	S. erinaceieuropaei
SPER_0001261201, SPER_0001970201, SPER_0001937301, SPER_0003832201, SPER_0002234201, SPER_0002393901	F13476_SPE_G1	S. erinaceieuropaei
SPER_0003708501, SPER_0000051601, SPER_0001337501	F13481_SPE_G1	S. erinaceieuropaei
SPER_0000715801, SPER_0003145201	F13492_SPE_G1	S. erinaceieuropaei
SPER_0003012201, SPER_0000102201, SPER_0003385701	F13505_SPE_G1	S. erinaceieuropaei
SPER_0001377201, SPER_0002646701, SPER_0001653701	F13548_SPE_G1	S. erinaceieuropaei
SPER_0001629801, SPER_0002551101, SPER_0002745401	F13565_SPE_G1	S. erinaceieuropaei
SPER_0000909701, SPER_0001156001, SPER_0003841801	F13574_SPE_G1	S. erinaceieuropaei
SPER_0000397901, SPER_0002576401	F13617_SPE_G1	S. erinaceieuropaei
SPER_0002181701, SPER_0003730101, SPER_0001864301	F13619_SPE_G1	S. erinaceieuropaei
SPER_0002242401, SPER_0001052601, SPER_0001863401	F13621_SPE_G1	S. erinaceieuropaei
SPER_0001905101, SPER_0000546401, SPER_0001652201, SPER_0002723501, SPER_0003748801	F13649_SPE_G1	S. erinaceieuropaei
SPER_0003382101, SPER_0001680301, SPER_0003184801, SPER_0002199101	F13660_SPE_G1	S. erinaceieuropaei
SPER_0000568901, SPER_0001855101	F13704_SPE_G1	S. erinaceieuropaei
SPER_0000755001, SPER_0003507301	F13731_SPE_G1	S. erinaceieuropaei
SPER_0001846101, SPER_0003362401, SPER_0003131501	F13732_SPE_G1	S. erinaceieuropaei
SPER_0000314101, SPER_0000637701, SPER_0002237501	F13736_SPE_G1	S. erinaceieuropaei
SPER_0003887401, SPER_0003422101, SPER_0003485201, SPER_0002592601, SPER_0001537101	F13747_SPE_G1	S. erinaceieuropaei
SPER_0000405101, SPER_0001298701	F13751_SPE_G1	S. erinaceieuropaei
SPER_0002637401, SPER_0003241001, SPER_0003279701	F13754_SPE_G1	S. erinaceieuropaei
SPER_0003617501, SPER_0003053801, SPER_0003444201, SPER_0003531501	F13773_SPE_G1	S. erinaceieuropaei
SPER_0000363501, SPER_0000362901, SPER_0002919101	F13783_SPE_G1	S. erinaceieuropaei
SPER_0001635801, SPER_0001533701, SPER_0000492301	F13791_SPE_G1	S. erinaceieuropaei
SPER_0003402201, SPER_0002741301, SPER_0002064201	F13803_SPE_G1	S. erinaceieuropaei
SPER_0001823301, SPER_0002500201, SPER_0000630501	F13808_SPE_G1	S. erinaceieuropaei
SPER_0001812901, SPER_0001083001, SPER_0001765401	F13809_SPE_G1	S. erinaceieuropaei
SPER_0000070001, SPER_0002211601, SPER_0002831201	F13810_SPE_G1	S. erinaceieuropaei
SPER_0001433401, SPER_0003790601, SPER_0003648701	F13820_SPE_G1	S. erinaceieuropaei
SPER_0002866601, SPER_0003746801	F13821_SPE_G1	S. erinaceieuropaei
SPER_0000610701, SPER_0003374301, SPER_0000028301	F13836_SPE_G1	S. erinaceieuropaei
SPER_0002973201, SPER_0002283301, SPER_0003250601	F13847_SPE_G1	S. erinaceieuropaei
SPER_0003527301, SPER_0000867001, SPER_0002899601	F13849_SPE_G1	S. erinaceieuropaei
SPER_0002948001, SPER_0000526101	F13851_SPE_G1	S. erinaceieuropaei
SPER_0003555801, SPER_0001331401, SPER_0003927701	F13853_SPE_G1	S. erinaceieuropaei
SPER_0001675601, SPER_0000256501, SPER_0001176801	F13859_SPE_G1	S. erinaceieuropaei
SPER_0001716901, SPER_0002144201, SPER_0002318801	F13864_SPE_G1	S. erinaceieuropaei
SPER_0001246401, SPER_0001330701, SPER_0003844301	F13872_SPE_G1	S. erinaceieuropaei
SPER_0001279801, SPER_0001856901, SPER_0002163901	F13880_SPE_G1	S. erinaceieuropaei
SPER_0002701201, SPER_0002349501, SPER_0003857301	F13885_SPE_G1	S. erinaceieuropaei
SPER_0000463801, SPER_0000844501, SPER_0003052101	F13895_SPE_G1	S. erinaceieuropaei
SPER_0001146401, SPER_0001388201, SPER_0003661601	F13898_SPE_G1	S. erinaceieuropaei
SPER_0002752001, SPER_0003549001, SPER_0003806301	F13902_SPE_G1	S. erinaceieuropaei
SPER_0001438801, SPER_0001233401, SPER_0003197301	F13909_SPE_G1	S. erinaceieuropaei
SPER_0003167001, SPER_0000117101, SPER_0001884901	F13911_SPE_G1	S. erinaceieuropaei
SPER_0002156601, SPER_0003960201	F13914_SPE_G1	S. erinaceieuropaei
SPER_0003331201, SPER_0002543901, SPER_0003361301	F13916_SPE_G1	S. erinaceieuropaei
SPER_0002208301, SPER_0002167601, SPER_0003452201, SPER_0002208201, SPER_0000090801, SPER_0001142601	F13920_SPE_G1	S. erinaceieuropaei
SPER_0003000001, SPER_0001727901, SPER_0001526001	F13927_SPE_G1	S. erinaceieuropaei
SPER_0003106601, SPER_0003704101, SPER_0003848201	F13929_SPE_G1	S. erinaceieuropaei
SPER_0000263801, SPER_0000269101	F13937_SPE_G1	S. erinaceieuropaei
SPER_0001179801, SPER_0002106501, SPER_0002049801	F13938_SPE_G1	S. erinaceieuropaei
SPER_0003908901, SPER_0001555401, SPER_0001612501	F13939_SPE_G1	S. erinaceieuropaei
SPER_0001448201, SPER_0000183001, SPER_0002473201	F13940_SPE_G1	S. erinaceieuropaei
SPER_0001366801, SPER_0001962201	F13941_SPE_G1	S. erinaceieuropaei
SPER_0001248201, SPER_0003903201	F13944_SPE_G1	S. erinaceieuropaei
SPER_0001175901, SPER_0001115401, SPER_0002574501	F13951_SPE_G1	S. erinaceieuropaei
SPER_0002778401, SPER_0001685501, SPER_0003168301	F13954_SPE_G1	S. erinaceieuropaei
SPER_0000863201, SPER_0001078201, SPER_0002710501	F13955_SPE_G1	S. erinaceieuropaei
SPER_0001472301, SPER_0000506601, SPER_0001722401, SPER_0003535301, SPER_0003893801, SPER_0003895101	F13959_SPE_G1	S. erinaceieuropaei
SPER_0002046101, SPER_0002145501, SPER_0003627901	F13960_SPE_G1	S. erinaceieuropaei
SPER_0003193301, SPER_0001644301, SPER_0003712101	F13978_SPE_G1	S. erinaceieuropaei
SPER_0000952001, SPER_0003184701, SPER_0002184701	F13991_SPE_G1	S. erinaceieuropaei
SPER_0000868501, SPER_0002778201, SPER_0000389701, SPER_0000597101	F13994_SPE_G1	S. erinaceieuropaei
SPER_0000771201, SPER_0001582401, SPER_0001372101	F13997_SPE_G1	S. erinaceieuropaei
SPER_0002789601, SPER_0002578601, SPER_0001801801	F13999_SPE_G1	S. erinaceieuropaei
SPER_0002987101, SPER_0003472801, SPER_0003519801	F14005_SPE_G1	S. erinaceieuropaei
SPER_0001093001, SPER_0002500501, SPER_0001327301	F14011_SPE_G1	S. erinaceieuropaei
SPER_0002056501, SPER_0003069001, SPER_0003109301	F14012_SPE_G1	S. erinaceieuropaei
SPER_0001316201, SPER_0003153901, SPER_0003367401	F14013_SPE_G1	S. erinaceieuropaei
SPER_0000032301, SPER_0001498601	F14014_SPE_G1	S. erinaceieuropaei
SPER_0000834401, SPER_0003710301, SPER_0003187901	F14017_SPE_G1	S. erinaceieuropaei
SPER_0003303801, SPER_0002413501, SPER_0003126901	F14019_SPE_G1	S. erinaceieuropaei
SPER_0001049301, SPER_0001314201, SPER_0001665601	F14021_SPE_G1	S. erinaceieuropaei
SPER_0002277501, SPER_0003763201	F14022_SPE_G1	S. erinaceieuropaei
SPER_0001692901, SPER_0001835401, SPER_0003939801	F14025_SPE_G1	S. erinaceieuropaei
SPER_0001823201, SPER_0000969801, SPER_0003591101	F14030_SPE_G1	S. erinaceieuropaei
SPER_0003359601, SPER_0000729401, SPER_0000186101	F14031_SPE_G1	S. erinaceieuropaei
SPER_0001855301, SPER_0003941401, SPER_0001524801	F14033_SPE_G1	S. erinaceieuropaei
SPER_0002080201, SPER_0002849501, SPER_0003238801	F14034_SPE_G1	S. erinaceieuropaei
SPER_0000663401, SPER_0001139201	F14038_SPE_G1	S. erinaceieuropaei
SPER_0003928101, SPER_0000294301, SPER_0000222601	F14040_SPE_G1	S. erinaceieuropaei
SPER_0000320901, SPER_0000354401, SPER_0002585101	F14046_SPE_G1	S. erinaceieuropaei
SPER_0001247701, SPER_0001062601, SPER_0001887701	F14052_SPE_G1	S. erinaceieuropaei
SPER_0000386101, SPER_0001157001, SPER_0001521501	F14058_SPE_G1	S. erinaceieuropaei
SPER_0000105901, SPER_0003722701	F14076_SPE_G1	S. erinaceieuropaei
SPER_0003314901, SPER_0003471501	F14087_SPE_G1	S. erinaceieuropaei
SPER_0000510201, SPER_0002265501	F14099_SPE_G1	S. erinaceieuropaei
SPER_0000499201, SPER_0003014701	F14104_SPE_G1	S. erinaceieuropaei
SPER_0000429301, SPER_0003613501, SPER_0003527001	F14120_SPE_G1	S. erinaceieuropaei
SPER_0000135101, SPER_0002522101	F14125_SPE_G1	S. erinaceieuropaei
SPER_0002383001, SPER_0002559301	F14141_SPE_G1	S. erinaceieuropaei
SPER_0000426101, SPER_0003347501	F14183_SPE_G1	S. erinaceieuropaei
SPER_0001692201, SPER_0002233201, SPER_0003716101	F14186_SPE_G1	S. erinaceieuropaei
SPER_0000863601, SPER_0002815701	F14187_SPE_G1	S. erinaceieuropaei
SPER_0000357301, SPER_0001948301	F14188_SPE_G1	S. erinaceieuropaei
SPER_0001208801, SPER_0001232701	F14216_SPE_G1	S. erinaceieuropaei
SPER_0002571301, SPER_0003515301, SPER_0003918701	F14218_SPE_G1	S. erinaceieuropaei
SPER_0000125301, SPER_0000737701	F14220_SPE_G1	S. erinaceieuropaei
SPER_0002231901, SPER_0003530301	F14225_SPE_G1	S. erinaceieuropaei
SPER_0000561201, SPER_0002340201, SPER_0000729601, SPER_0002846301	F14234_SPE_G1	S. erinaceieuropaei
SPER_0001330601, SPER_0002832501	F14242_SPE_G1	S. erinaceieuropaei
SPER_0000345201, SPER_0003337901	F14247_SPE_G1	S. erinaceieuropaei
SPER_0003199201, SPER_0003616701, SPER_0003222901	F14251_SPE_G1	S. erinaceieuropaei
SPER_0000363701, SPER_0003400401	F14253_SPE_G1	S. erinaceieuropaei
SPER_0000971101, SPER_0003475801	F14261_SPE_G1	S. erinaceieuropaei
SPER_0001735501, SPER_0003553801	F14267_SPE_G1	S. erinaceieuropaei
SPER_0000952101, SPER_0002343001	F14274_SPE_G1	S. erinaceieuropaei
SPER_0001756501, SPER_0003930901	F14280_SPE_G1	S. erinaceieuropaei
SPER_0002104201, SPER_0001932501, SPER_0002393601	F14292_SPE_G1	S. erinaceieuropaei
SPER_0002945701, SPER_0003934201	F14302_SPE_G1	S. erinaceieuropaei
SPER_0000683201, SPER_0003553001, SPER_0001173201	F14306_SPE_G1	S. erinaceieuropaei
SPER_0000136001, SPER_0002728901, SPER_0000116601	F14309_SPE_G1	S. erinaceieuropaei
SPER_0003349901, SPER_0003611201, SPER_0003890401	F14310_SPE_G1	S. erinaceieuropaei
SPER_0000237201, SPER_0001882201	F14312_SPE_G1	S. erinaceieuropaei
SPER_0000923301, SPER_0001257801	F14314_SPE_G1	S. erinaceieuropaei
SPER_0001009901, SPER_0001398001, SPER_0003059301	F14317_SPE_G1	S. erinaceieuropaei
SPER_0001469601, SPER_0003207401	F14321_SPE_G1	S. erinaceieuropaei
SPER_0000097401, SPER_0001608201	F14325_SPE_G1	S. erinaceieuropaei
SPER_0000708901, SPER_0002112601	F14326_SPE_G1	S. erinaceieuropaei
SPER_0000988901, SPER_0002178501, SPER_0003613101	F14331_SPE_G1	S. erinaceieuropaei
SPER_0002088001, SPER_0003383901, SPER_0002210201	F14333_SPE_G1	S. erinaceieuropaei
SPER_0002395901, SPER_0002903201	F14336_SPE_G1	S. erinaceieuropaei
SPER_0000072301, SPER_0001903201	F14340_SPE_G1	S. erinaceieuropaei
SPER_0002757501, SPER_0002783401, SPER_0002767701	F14341_SPE_G1	S. erinaceieuropaei
SPER_0001365001, SPER_0003225901	F14344_SPE_G1	S. erinaceieuropaei
SPER_0001406701, SPER_0002759501	F14347_SPE_G1	S. erinaceieuropaei
SPER_0000479801, SPER_0000687801, SPER_0001305301, SPER_0003831301, SPER_0000774001, SPER_0001576501, SPER_0000859601, SPER_0003976001, SPER_0003151701, SPER_0002575301, SPER_0003166901, SPER_0002258601, SPER_0003409901	F14349_SPE_G1	S. erinaceieuropaei
SPER_0000171501, SPER_0000281201, SPER_0001780501	F14355_SPE_G1	S. erinaceieuropaei
SPER_0003234601, SPER_0003628301	F14357_SPE_G1	S. erinaceieuropaei
SPER_0000417001, SPER_0002776401	F14358_SPE_G1	S. erinaceieuropaei
SPER_0000062601, SPER_0002988201, SPER_0001836001	F14359_SPE_G1	S. erinaceieuropaei
SPER_0002508501, SPER_0003782101	F14379_SPE_G1	S. erinaceieuropaei
SPER_0003762701, SPER_0000608901, SPER_0000969201, SPER_0000483501, SPER_0003314101	F14391_SPE_G1	S. erinaceieuropaei
SPER_0002086601, SPER_0002261601	F14395_SPE_G1	S. erinaceieuropaei
SPER_0002178101, SPER_0002477501	F14399_SPE_G1	S. erinaceieuropaei
SPER_0000423601, SPER_0003259601	F14410_SPE_G1	S. erinaceieuropaei
SPER_0000224001, SPER_0003282201	F14431_SPE_G1	S. erinaceieuropaei
SPER_0001949101, SPER_0002288401	F14436_SPE_G1	S. erinaceieuropaei
SPER_0001546501, SPER_0000223901, SPER_0002693901	F14440_SPE_G1	S. erinaceieuropaei
SPER_0003023401, SPER_0003615601	F14441_SPE_G1	S. erinaceieuropaei
SPER_0001420601, SPER_0002787501	F14451_SPE_G1	S. erinaceieuropaei
SPER_0000354001, SPER_0000509001, SPER_0001337901	F14460_SPE_G1	S. erinaceieuropaei
SPER_0000474801, SPER_0003706701	F14464_SPE_G1	S. erinaceieuropaei
SPER_0001049801, SPER_0001940001	F14466_SPE_G1	S. erinaceieuropaei
SPER_0003429501, SPER_0003747101, SPER_0002412601, SPER_0000936701, SPER_0003416901	F14467_SPE_G1	S. erinaceieuropaei
SPER_0001776401, SPER_0002104401, SPER_0003292201	F14474_SPE_G1	S. erinaceieuropaei
SPER_0002303501, SPER_0002779301	F14481_SPE_G1	S. erinaceieuropaei
SPER_0001265001, SPER_0001439501	F14484_SPE_G1	S. erinaceieuropaei
SPER_0000286501, SPER_0000289101	F14492_SPE_G1	S. erinaceieuropaei
SPER_0001783601, SPER_0002136301	F14509_SPE_G1	S. erinaceieuropaei
SPER_0003259901, SPER_0001314301, SPER_0001987701	F14555_SPE_G1	S. erinaceieuropaei
SPER_0003864601, SPER_0000443101, SPER_0001917101	F14561_SPE_G1	S. erinaceieuropaei
SPER_0001079301, SPER_0001363201	F14563_SPE_G1	S. erinaceieuropaei
SPER_0002310701, SPER_0002464301	F14583_SPE_G1	S. erinaceieuropaei
SPER_0003935901, SPER_0003780401, SPER_0003200001	F14587_SPE_G1	S. erinaceieuropaei
SPER_0001485501, SPER_0001989301	F14594_SPE_G1	S. erinaceieuropaei
SPER_0000512801, SPER_0000649201	F14595_SPE_G1	S. erinaceieuropaei
SPER_0002496501, SPER_0001855801, SPER_0003283701	F14607_SPE_G1	S. erinaceieuropaei
SPER_0002408401, SPER_0000935101	F14615_SPE_G1	S. erinaceieuropaei
SPER_0002325501, SPER_0002760401	F14625_SPE_G1	S. erinaceieuropaei
SPER_0002339701, SPER_0003028201	F14638_SPE_G1	S. erinaceieuropaei
SPER_0001915701, SPER_0003670901	F14670_SPE_G1	S. erinaceieuropaei
SPER_0001608301, SPER_0003428501	F14770_SPE_G1	S. erinaceieuropaei
SPER_0001939301, SPER_0002999601	F14867_SPE_G1	S. erinaceieuropaei
SPER_0001251501, SPER_0003015501	F14903_SPE_G1	S. erinaceieuropaei
SPER_0001842201, SPER_0002359001, SPER_0003285001	F14940_SPE_G1	S. erinaceieuropaei
SPER_0000832001, SPER_0001820701	F14990_SPE_G1	S. erinaceieuropaei
SPER_0003561801, SPER_0003919601, SPER_0000286301, SPER_0002778701, SPER_0000827101	F15032_SPE_G1	S. erinaceieuropaei
SPER_0000292601, SPER_0003878301	F15053_SPE_G1	S. erinaceieuropaei
SPER_0003385801, SPER_0003531101	F15253_SPE_G1	S. erinaceieuropaei
SPER_0001836801, SPER_0003105201, SPER_0003169301	F15349_SPE_G1	S. erinaceieuropaei
SPER_0000035201, SPER_0001552301	F15367_SPE_G1	S. erinaceieuropaei
SPER_0003235501, SPER_0001323901, SPER_0003665601	F15375_SPE_G1	S. erinaceieuropaei
SPER_0002013701, SPER_0002299001	F15392_SPE_G1	S. erinaceieuropaei
SPER_0003298001, SPER_0003688601	F15393_SPE_G1	S. erinaceieuropaei
SPER_0003381301, SPER_0003639401	F15395_SPE_G1	S. erinaceieuropaei
